0,1,2,3,4
Mihály Szabados,1972,[''],"['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Producción']",Sin Oscar
Dylan McLaughlin,1993,[''],"['Reparto', 'Dirección', 'Edición']",Sin Oscar
Tim Thunderhorse Halpin,marzo,[''],"['Reparto', 'Equipos adicionales', 'Producción']",Sin oscar
Lucianna De Falco,No data,[''],['Reparto'],Sin Oscar
David Midthunder,agosto,[''],"['Reparto', 'Equipos adicionales', 'Especialistas']",Sin oscar
Eloïse Charretier,No data,[''],['Reparto'],Sin oscar
Sharlene Royer,No data,[''],"['Especialistas', 'Reparto', 'Equipos adicionales']",Más en IMDbPro
Toby Jones,1966,[''],"['Reparto', 'Guion', 'Producción']",Nominado para 1 premio Primetime Emmy
Annie NicLeoid,No data,['Seachd: The Inaccessible Pinnacle'],['Reparto'],Sin oscar
Valérie Stroh,1958,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Mora Recalde,No data,"['El día trajo la oscuridad', 'Mi amor, mi amor', '2012–2013 • 87 episodios', '2019', '2016']","['Reparto', 'Casting', 'Dirección de casting']",Sin Oscar
Anne-Mari Alaspää,No data,"['Rakkauden nälkä', '2007 • 3 episodios', '2022', '2007', 'Niina Mustala']",['Reparto'],Sin oscar
Lisa Dwyer Hogg,No data,[''],"['Reparto', 'Banda sonora']",Más en IMDbPro
Tyshanda Hasberry,No data,['3 Américas'],['Reparto'],Sin oscar
Ryan Conway,1887,[''],"['Dirección', 'Reparto', 'Producción']",Sin Oscar
Makua Rothman,No data,"['En el filo de las olas', 'Godzilla vs. Kong', 'Point Break (Sin límites)', 'Jungle Cruise']","['Reparto', 'Especialistas', 'Equipos adicionales']",Sin oscar
Glenn Johansson,No data,[''],['Reparto'],Sin oscar
Betty A. Bridges,No data,"['Movida en el Roxbury', 'A Day in the Life of Mia', '7,7', 'Building Bridges']","['Reparto', 'Dirección', 'Guion']",Sin oscar
Francesca P. Roberts,1953,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Oliverio Gareli,1966,[''],"['Reparto', 'Dirección de casting', 'Producción']",Sin oscar
Sean Hagan,No data,"['Standalone', 'The Persistence of Dreams', '2005', '2007']","['Reparto', 'Producción', 'Especialistas']",Sin oscar
Sabrina Lloyd,1970,[''],"['Reparto', 'Guion']",Sin Oscar
Glen Johnston,No data,['Tau ya Soweto'],['Reparto'],Sin oscar
Erdal Besikçioglu,1970,[''],"['Reparto', 'Producción']",Sin Oscar
Della Reese,1931,[''],"['Reparto', 'Guion', 'Música']",Nominado para 2 premios Primetime Emmy
Ji-a Park,No data,"['Hierro 3 (Bin-jip)', 'Primavera, verano, otoño, invierno... y primavera', 'Iron Mask', '6,9']",['Reparto'],Sin oscar
Allison Janney,1959,[''],"['Reparto', 'Producción', 'Música']",Ganó 1 premio Óscar
Masatoshi Nagase,1966,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Karl Yune,1975,[''],['Reparto'],Sin oscar
Shantha Diaz,No data,"['Clancy', 'Otra serenidad perfecta']",['Reparto'],Sin oscar
Jamie-Lynn Sigler,1981,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Maria Ribeiro,1975,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Giovanni Ribisi,1974,[''],"['Reparto', 'Producción', 'Dirección de fotografía y cámara']",Nominado para 1 premio Primetime Emmy
Hugh Thompson,No data,[''],['Reparto'],Más en IMDbPro
Espen Prestbakmo,No data,"['Un cuento gamberro de Navidad', 'Glassdukkene', 'Verdwijnen', 'Far North']","['Localización', 'Reparto', 'Arte']",Sin oscar
Lei Tsao,No data,"['Iron Man 3', 'El poder del Tai Chi', 'The Shanghai Job', 'The Ark: An Iron Sky Story']","['Dirección de la segunda unidad o asistencia a dirección', 'Reparto', 'Dirección de producción']",Sin oscar
