0,1,2,3,4,5,6,7,8,9,10
tt0143558,Apaföld,Movie,Drama,2009,3.0,NO DATA,"['tt0143558', 'Tamás Ravasz', 'János Derzsi', 'Andrea Nagy', 'Lukács Bicskey', 'István Znamenák']",[],"How a father returns to his son after a long period in prison. Anxious to be reconciled with his child - who reproaches him for his absence (the mother having died in the interim) - the father tries to teach him some values and buys a piece of land in order to plant a vine. However, the son totally rejects this paternal figure and the tension grows further when the fa... Leer todo",85
tt0153140,Rózsaszín sajt,Movie,Drama,2009,9.0,NO DATA,"['tt0153140', 'Barnabás Tóth', 'Zoltán Bezerédy', 'Levente Molnár', 'Linda Lisztes', 'Béla Spindler', 'Angéla Eke', 'Gerda Pikali', 'Betta Lipcsei', 'Douceline Derreal', 'Olivier-Jacques Bernard']",[],"To escape the oppressive hyperactivity of his gynecologist father, Dani, 19-year-old student at the Medical University of Budapest, travels to France to his musician uncle. A vision of adolescence and father-son-women relationship filled with humour and human touches. This movie is spoken in Hungarian and French and subtitled in English.",Formato min incorrecto
tt0205380,Sanam Teri Kasam,Movie,Drama,2009,5.0,NO DATA,"['tt0205380', 'Saif Ali Khan', 'Atul Agnihotri', 'Pooja Bhatt', 'Sheeba Agarwal', 'Vikas Anand', 'Tabassum Govil', 'Dinesh Hingoo', 'Saeed Jaffrey', 'Shashi Kiran', 'Alok Nath']",[],A love triangle forms after a male finds his best friend has married his sweetheart.,Formato min incorrecto
tt0254832,Twice as Dead,Movie,Drama,2009,,NO DATA,"['tt0254832', 'Ken Ward', 'Darlene Conte', 'Jeff Stearns', 'Katherine Boecher', 'Rowan Joseph', 'Suzanne Whang', 'Wendee Lee', 'Stephanie Kelley', 'Mike Meyers']",[],Jack and Jill rob a bank and end up on the road with their contact and a sexy vixen on the run from the law.,NO DATA
tt0311698,Railed,Movie,Drama,2009,12.0,NO DATA,"['tt0311698', 'Melissa McHenry', 'Mark Strohman']",[],"""Railed"" blurs the line between reality and fiction, taking place on a cross-country train trip from Los Angeles to New York. Passengers, unaware, become the stars and plot of the film.",78
tt0327597,Coraline,Movie,Drama,2009,5.0,NO DATA,"['tt0327597', 'Dakota Fanning', 'Teri Hatcher', 'John Hodgman', 'Jennifer Saunders', 'Dawn French', 'Keith David', 'Robert Bailey Jr.', 'Ian McShane', 'Aankha Neal', 'George Selick']",[],"Una aventurera niña de 11 años encuentra otro mundo que es una versión extrañamente idealizada de su frustrante hogar, pero que tiene siniestros secretos.",NO DATA
tt0344074,Mitsein,Movie,Drama,2009,7.0,NO DATA,"['tt0344074', 'Smriti Mishra', 'Namrata Singh Gujral', 'Amit Garg', 'Rupinder Nagra', 'Manjit Singh', 'Jesse Allen', 'Pia Shah', 'Muldoon Elder', 'Durek Verett', 'Asha Menghrajani']",[],Moksha sees a painting of her in an art gallery and goes on a surreal journey looking for the artist who created her.,60
tt0346631,Blood and Bone,Movie,Drama,2009,9.0,NO DATA,"['tt0346631', 'Michael Jai White', 'Julian Sands', 'Eamonn Walker', 'Dante Basco', 'Nona Gaye', 'Michelle Belegrin', 'Bob Sapp', 'Dick Anthony Williams', 'Francis Capra', 'Ron Yuan']",[],"En Los Ángeles, un ex convicto toma por asalto el mundo clandestino de la lucha en su búsqueda por cumplir una promesa a un amigo muerto.",NO DATA
tt0361748,Inglourious Basterds,Movie,Drama,2009,8.0,NO DATA,"['tt0361748', 'Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent', 'Christoph Waltz', 'Michael Fassbender', 'Daniel Brühl', 'Til Schweiger', 'Gedeon Burkhard', 'Jacky Ido']",[],"En la Francia ocupada por los nazis durante la Segunda Guerra Mundial, un plan para asesinar a los líderes nazis por parte de un grupo de soldados judíos estadounidenses coincide con los planes vengativos de la dueña de un cine.",NO DATA
tt0362478,The Box,Movie,Drama,2010,2.0,NO DATA,"['tt0362478', 'Cameron Diaz', 'James Marsden', 'Frank Langella', 'James Rebhorn', 'Holmes Osborne', 'Sam Oz Stone', 'Gillian Jacobs', 'Celia Weston', 'Deborah Rush', 'Lisa K. Wyatt']",[],"Una pequeña caja de madera llega a la puerta de un matrimonio que sabe que si la abren ganarán un millón de dólares, y una persona a la que desconocen morirá.",NO DATA
tt0368563,Possession,Movie,Drama,2009,7.0,NO DATA,"['tt0368563', 'Sarah Michelle Gellar', 'Lee Pace', 'Michael Landes', 'Tuva Novotny', 'Chelah Horsdal', 'Dhirendra', 'Paul Jarrett', 'William B. Davis', 'Veena Sood', 'Peter Bryant']",[],"A woman's life is thrown into chaos after a freak car accident sends her husband and brother-in-law into comas. Thrills arrive after the brother-in-law wakes up, thinking he's his brother.",NO DATA
tt0374853,Malice in Wonderland,Movie,Drama,2010,12.0,NO DATA,"['tt0374853', 'Maggie Grace', 'Danny Dyer', 'Matt King', 'Nathaniel Parker', 'Bronagh Gallagher', 'Anthony Higgins', 'Steve Haze', 'Christian Patterson', 'Dave Lynn', 'Gary Beadle']",[],"A modern take on the classic fairytale, Alice in Wonderland, set in the North East of England.",NO DATA
tt0375568,Astro Boy,Movie,Drama,2010,2.0,NO DATA,"['tt0375568', 'Freddie Highmore', 'Nicolas Cage', 'Kristen Bell', 'Charlize Theron', 'Ryan Stiles', 'Eugene Levy', 'Donald Sutherland', 'Bill Nighy', 'David Alan Grier', 'Alan Tudyk']",[],"Cuando un androide réplica de un niño es rechazado por su afligido creador, sale a buscar su propia identidad en una aventura que lo convertirá en el mayor héroe de su tiempo.",NO DATA
tt0380510,The Lovely Bones,Movie,Drama,2010,2.0,NO DATA,"['tt0380510', 'Rachel Weisz', 'Mark Wahlberg', 'Saoirse Ronan', 'Susan Sarandon', 'Stanley Tucci', 'Michael Imperioli', 'Rose McIver', 'Christian Ashdale', 'Reece Ritchie', 'Carolyn Dando']",[],En torno a una niña que ha sido asesinada y cuida de su familia - al tiempo que observa a su asesino - des del purgatorio. Tendrá que encontrar el equilibrio entre su deseo de venganza y su deseo de reconfortar a su familia.,NO DATA
tt0382579,Boppin' at the Glue Factory,Movie,Drama,2009,,NO DATA,"['tt0382579', 'Henry Dittman', 'Conrad Roberts', 'Mews Small', 'Rance Howard', 'Ski Carr', 'Charles Santore', 'Jossie Thacker', 'Stephon Fuller', 'Joan Blair', 'Jackeline Olivier']",[],A junkie nurse rules the night shift at a convalescent hospital.,82
tt0386117,Where the Wild Things Are,Movie,Drama,2010,1.0,NO DATA,"['tt0386117', 'Max Records', ""Catherine O'Hara"", 'Forest Whitaker', 'Pepita Emmerichs', 'Max Pfeifer', 'Madeleine Greaves', 'Joshua Jay', 'Ryan Corr', 'Catherine Keener', 'Steve Mouzakis']",[],"Una adaptación de la historia infantil clásica de Maurice Sendak, en la que Max, un niño pequeño y desobediente es enviado a la cama sin su cena, crea su propio mundo--un bosque habitado por feroces criaturas salvajes quienes coronan Max como su gobernante.Reseña anónima (Traducida por IMDb.es)",NO DATA
tt0405022,House of Boys,Movie,Drama,2010,,NO DATA,"['tt0405022', 'Loïc Peckels', 'Layke Anderson', 'Harry Ferrier', 'Michael N. Kuehl', 'Gintare Parulyte', 'Sascha Ley', 'Chris McHallem', 'Natalie Slevin', 'Kelly Jake', 'Benn Northover']",[],"Dos jóvenes almas gemelas se encuentran mientras trabajan en un club para hombres. Eventualmente, uno contrae el SIDA.",NO DATA
