0,1,2,3,4,5,6,7,8,9,10
tt0146592,Éva Gábor,István Znamenák,Ákos Horváth,Lia Pokorny,Izabella Hegyi,Szabolcs Thuróczy,Ági Margitai,Eszter Márton,Lóránt Matta,Róbert Kardos
tt0154039,Kornél Mundruczó,Daniel Olbrychski,Zoltán Mucsi,Florian Teichtmeister,Lajos Balázsovits,György Cserhalmi,Simon Szabó,Miklós Béres,Miklós Székely B.,Gábor Nagypál
tt0162942,Zoltán Rátóti,Yu Debin,Eszter Bánfalvi,Ferenc Lengyel,Attila Egyed,Shan Yu Tio,Erika Horváth,Uwe Lauer,Gábor Pintér,Szabolcs Thuróczy
tt0230212,R.J. Adams,Rob Adams,,,,,,,,
tt0326965,Philip Winchester,Tim Draxl,Lacey Chabert,Abigail Spencer,Kelly Overton,Amy Aquino,Tony Hale,Kevin Kilner,Aidan Mitchell,Michael Badalucco
tt0331312,Daniel Ball,Ande Cira,Michael Callahan,Frankie J. Mosca,Christopher Pleckaitis,Brian Calek,Carol Wei,Chris Johnson,Sal DeLucia,Sarah Caliendo
tt0393049,Michael Warren,Joanna Cassidy,Joyce Guy,Bill Moseley,Jerome Elston Scott,Alan Blumenfeld,Art Evans,Nicholas Downs,Heather Bergdahl,Micah Stuart
tt0396123,Tine Blichmann,Carsten Brandt,Kirstine Brandt,Laure Calamy,Mikkel Faartoft,Stine Faartoft,Michelle Figlarz,Ewa Fröling,Helene Gross,Rut Kronström
tt0403645,Nikita Mikhalkov,Oleg Menshikov,Nadezhda Mikhalkova,Sergey Makovetskiy,Dmitriy Dyuzhev,Artur Smolyaninov,Andrey Merzlikin,Maksim Sukhanov,Evgeniy Stychkin,Evgeniy Mironov
tt0411951,Jon Foo,Kelly Overton,Cary-Hiroyuki Tagawa,Ian Anthony Dale,Cung Le,Darrin Dewitt Henson,Luke Goss,Mircea Monroe,Tamlyn Tomita,Candice Hillebrand
tt0419692,Steffany Huckaby,Amanda Troop,Eddie Jones,Holmes Osborne,Michael Muhney,Tami Erin,Curtis Pettijohn,Devorah Eizikovic Richards,Will Zahrn,Karla Strum
tt0443331,Kareena Kapoor,Shahid Kapoor,Aarti Chhabria,Delnaaz Irani,Satish Shah,Tanaaz Currim Irani,Vijay Kashyap,Satish Kaushik,Sarfaraz Khan,Kirron Kher
tt0445054,Claude Legault,Rémy Girard,Martin Dubreuil,Fanny Mallette,Rose-Marie Coallier,Alexandre Goyette,Dominique Quesnel,Pascale Delhaes,Pascal Contamine,Daniel Desputeau
tt0444531,Asunción Balaguer,Maite Blasco,Txema Blasco,Francisco Boira,Alicia Borrachero,Yohana Cobo,Laura Domínguez,Roberto Enríquez,Ana Fernández,Manuel García Merino
tt0446686,Tyson Beckford,Coby Bell,Jim Brown,Kathryne Dora Brown,Anthony Chisholm,Ruby Dee,Michael Genet,Lonette McKee,Amy Jo Phillips,JoAnna Rhinehart
tt0451108,Gary Cairns,Dylan Booth,Matthew Thompson,James Lee Martinec,Chad Mountain,Jerry G. Angelo,Kelly Musson,Barry Ratcliffe,Eugenia Care,David Huynh
tt0454155,Alejandro Parrilla,Rodrigo Lico Lorente,Orlando Mastropaolo,Rocío Rodríguez Presedo,Lidia Epstejn,Walter Cornás,Hernán Lociser,Paula Staffolani,Ezequiel Comerón,Angie Hoyos
