,Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
0,Drama,Movie,Az ember tragédiája,2011,12.0,tt0176694
1,Drama,Movie,Los pájaros se van con la muerte,2011,6.0,tt0247643
2,Drama,Movie,Lives No Longer Ours,2011,,tt0311448
3,Drama,Movie,The Wicker Tree,2011,7.0,tt0323808
4,Drama,Movie,Spy,2011,8.0,tt0372538
5,Drama,Movie,The Rum Diary,2011,12.0,tt0376136
6,Drama,Movie,Bubbles,2011,,tt0406282
7,Drama,Movie,Seven Fallen Objects,2011,5.0,tt0407194
8,Drama,Movie,El borde del tiempo,2011,,tt0425785
9,Drama,Movie,Real Steel,2011,11.0,tt0433035
10,Drama,Movie,Satin,2011,3.0,tt0433397
11,Drama,Movie,Moving Target,2011,,tt0439724
12,Drama,Movie,A Bird of the Air,2011,9.0,tt0448022
13,Drama,Movie,Generation P,2011,4.0,tt0459748
14,Drama,Movie,The Grasslands,2012,12.0,tt0460809
15,Drama,Movie,Silent Alarm,2011,1.0,tt0462536
16,Drama,Movie,Act Your Age,2011,4.0,tt0464891
17,Drama,Movie,Margaret,2012,6.0,tt0466893
18,Drama,Movie,Platinum Illusions,2011,6.0,tt0469158
19,Drama,Movie,The Pack,2011,10.0,tt0469152
20,Drama,Movie,Extremely Loud & Incredibly Close,2012,3.0,tt0477302
21,Drama,Movie,The Tree of Life,2011,6.0,tt0478304
22,Drama,Movie,Atlas Shrugged: Part I,2011,4.0,tt0480239
23,Drama,Movie,Abhishapt,2014,,tt0479807
24,Drama,Movie,Gente mala del norte,2011,2.0,tt0484037
25,Drama,Movie,Something Borrowed,2011,6.0,tt0491152
26,Drama,Movie,Double Tap,2014,,tt0490847
27,Drama,Movie,California Indian,2011,11.0,tt0770728
28,Drama,Movie,Drive,2011,11.0,tt0780504
29,Drama,Movie,Wilde Salomé,2017,4.0,tt0795459
30,Drama,Movie,Red Dog,2011,8.0,tt0803061
31,Drama,Movie,Spoon,2011,,tt0805617
32,Drama,Movie,The King Hector Lavoe,2011,2.0,tt0811069
33,Drama,Movie,Take Me Home Tonight,2011,3.0,tt0810922
34,Drama,Movie,Shanghai Hotel,2014,1.0,tt0816648
35,Drama,Movie,Où va la nuit,2011,5.0,tt0825282
