0,1,2,3
tt0102267,Lifebreath,"5,4",NO DATA
tt0108233,Strawberry Fields,"6,5",NO DATA
tt0109136,Annie's Garden,"4,7",NO DATA
tt0110331,Lethal Seduction,"4,1",5
tt0111416,This Is the Sea,"6,1",NO DATA
tt0112974,Alien Visitor,"5,7",6
tt0111632,Visidela,"6,7",NO DATA
tt0112856,Les deux orphelines vampires,"5,0",46
tt0114050,Opposite Corners,"5,8",NO DATA
tt0113937,Natsu jikan no otonatachi,"7,0",NO DATA
tt0113968,The Next Step,"6,2",NO DATA
tt0114216,Quiet Days in Hollywood,"4,4",18
tt0114854,Violet's Visit,"6,1",NO DATA
tt0114877,The Voyeur,"6,6",NO DATA
tt0115797,C'est la tangente que je préfère,"6,0",NO DATA
tt0115462,Actrius,"6,7",NO DATA
tt0115865,Changing Habits,"5,8",22
tt0116611,Illicit Dreams 2,"3,7",NO DATA
tt0115512,All's Fair in Love & War,"2,7",NO DATA
tt0116444,La grande quercia,"7,6",NO DATA
tt0116914,Loose Women,"4,4",NO DATA
tt0116193,En brazos de la mujer madura,"6,2",NO DATA
tt0116826,Last Chance Love,"4,4",NO DATA
tt0115866,Chapter Perfect,"5,1",NO DATA
tt0116261,Eye of God,"7,3",75
tt0116956,Magenta,"4,7",20
tt0115784,Bumerang,"7,1",NO DATA
tt0116140,Dream Land,NO DATA,84
tt0116990,Marianna Ucrìa,"6,0",6
tt0115927,Commandments,"5,5",24
tt0116156,Dzien wielkiej ryby,"6,0",6
tt0116383,Für immer und immer,"6,2",NO DATA
tt0116762,Keys to Tulsa,"5,1",10
tt0116976,Man of Her Dreams,"5,0",NO DATA
tt0115898,Tsikatriz,"5,4",NO DATA
tt0115584,Asylum,"4,9",NO DATA
tt0116195,En la puta calle,"6,3",59
tt0116618,"'Imûhar', une légende","6,5",NO DATA
tt0115818,Cannes Man,"5,1",NO DATA
tt0116379,A Further Gesture,"5,8",67
tt0116547,Home Before Dark,"6,7",NO DATA
tt0116590,Hysteria,"5,2",NO DATA
tt0116785,Wo ai chu fang,"7,0",7
tt0116941,Lunastus,"6,2",NO DATA
tt0115945,Et hjørne af paradis,"4,8",NO DATA
tt0116431,Gold in the Streets,"5,4",NO DATA
tt0116979,Managua,"4,4",NO DATA
tt0116970,"Mama, I Have Something to Tell You",NO DATA,NO DATA
tt0118598,Altri uomini,"6,6",NO DATA
tt0116851,Leila,"7,5",NO DATA
tt0117264,A Ostra e o Vento,"7,2",NO DATA
tt0118554,Adam & Eva,"6,1",70
tt0118594,Allyson Is Watching,"4,8",7
tt0118030,Under the Lighthouse Dancing,"5,6",83
tt0118660,Auzaar,"4,6",25
tt0117056,Ayneh,"7,5",NO DATA
tt0118644,Assassin(s),"6,4",56
tt0118823,A Casa,"7,0",62
tt0118586,All Over Me,"6,4",NO DATA
tt0118870,Cold Around the Heart,"5,2",22
tt0118997,Docteur Chance,"5,4",NO DATA
tt0119029,Dust Off the Wings,"5,9",NO DATA
tt0118713,The Big Empty,"5,8",NO DATA
tt0118614,Amy,"6,7",43
tt0118762,Boys Life 2,"6,6",83
tt0118751,Border,"7,9",83
tt0118820,Il carniere,"6,0",NO DATA
tt0118683,Barbara,"6,1",38
tt0118632,The Apostle,"7,2",88
tt0118865,The Climb,"6,7",NO DATA
tt0118881,Con rabbia e con amore,"6,8",NO DATA
tt0118756,Le bossu,"6,9",88
tt0118648,The Assistant,"5,7",NO DATA
tt0118905,La cruz,"6,0",NO DATA
tt0118588,All Stars,"7,1",60
tt0118827,Casualties,"5,3",33
tt0118993,Trading Favors,"5,1",NO DATA
tt0119042,Eat Your Heart Out,"5,6",NO DATA
tt0118851,Chinese Box,"6,2",NO DATA
tt0118534,2/dyuo,"7,0",7
tt0118638,Ariane ou l'âge d'or,"7,9",9
tt0118767,Brat,"7,8",NO DATA
tt0118799,La vita è bella,"8,6",81
tt0118610,Amor de hombre,"6,3",NO DATA
tt0118696,Below Utopia,"4,9",NO DATA
tt0118815,O Cangaceiro,"6,7",NO DATA
