nombre_interprete,premios
"Frances McDormand","Ganó 4 premios Óscar"
"John Nicholson","Ganó 3 premios Óscar"
"Meryl Streep","Ganó 3 premios Óscar"
Ben,"Ganó 2 premios Óscar"
"Ben Affleck","Ganó 2 premios Óscar"
"George Clooney","Ganó 2 premios Óscar"
"Denzel Washington","Ganó 2 premios Óscar"
Ali,"Ganó 2 premios Óscar"
"Dustin Hoffman","Ganó 2 premios Óscar"
"Brad Pitt","Ganó 2 premios Óscar"
"Emma Thompson","Ganó 2 premios Óscar"
"Anthony Hopkins","Ganó 2 premios Óscar"
"Cate Blanchett","Ganó 2 premios Óscar"
"Kevin Michael","Ganó 2 premios Óscar"
"Kevin Spacey","Ganó 2 premios Óscar"
"Maggie Smith","Ganó 2 premios Óscar"
"Mahershala Ali","Ganó 2 premios Óscar"
"Mel Gibson","Ganó 2 premios Óscar"
"Renée Zellweger","Ganó 2 premios Óscar"
"Robert De Niro","Ganó 2 premios Óscar"
"Sally Field","Ganó 2 premios Óscar"
"Scott Fisher","Ganó 2 premios Óscar"
"Sean Penn","Ganó 2 premios Óscar"
"Brenda Fricker","Ganó 1 premio Óscar"
"Casey Affleck","Ganó 1 premio Óscar"
Charlie,"Ganó 1 premio Óscar"
"Charlize Theron","Ganó 1 premio Óscar"
"Charlton Heston","Ganó 1 premio Óscar"
"Chris Cooper","Ganó 1 premio Óscar"
"Christian Bale","Ganó 1 premio Óscar"
"Christine Lahti","Ganó 1 premio Óscar"
"Christopher Walken","Ganó 1 premio Óscar"
"Colin Firth","Ganó 1 premio Óscar"
Common,"Ganó 1 premio Óscar"
"Cuba Gooding Jr.","Ganó 1 premio Óscar"
"David Fine","Ganó 1 premio Óscar"
"Eddie Redmayne","Ganó 1 premio Óscar"
"Ellen Burstyn","Ganó 1 premio Óscar"
"Emerald Fennell","Ganó 1 premio Óscar"
"Emma Stone","Ganó 1 premio Óscar"
"Faye Dunaway","Ganó 1 premio Óscar"
"Gary Oldman","Ganó 1 premio Óscar"
"Geoffrey Rush","Ganó 1 premio Óscar"
