id_pelicula,nombre_pelicula,puntos_imdb
tt27858080,Heel'D,10
tt28287857,"Mais Pesado é o Céu",10
tt11166250,Matriarch,10
tt26774318,"Flying Lessons",10
tt28287857,"Mais Pesado é o Céu",10
tt16993470,Elmar,10
tt11899796,"The Oratory",10
tt26470862,"Vida de Atriz - parte 2",10
tt26774318,"Flying Lessons",10
tt13673110,Turvo,10
tt16993470,Elmar,10
tt3058736,"Tiger Lily",9
tt11686784,"Broken Truth",9
tt3774228,"Our Time",9
tt11079750,"God Bless You",9
tt5047372,"The Way Forward",9
tt27512569,Uschool,9
tt13521264,"The Higher Spirit",9
tt28080971,Primbon,9
tt3714920,"The Roots Remain",9
tt28116291,"IQ (Power of student)",9
tt12350928,"Bernie Problems",9
tt3793864,"The Sand Box",9
tt10870258,"Horas Amang: Tiga Bulan Untuk Selamanya",9
tt5047372,"The Way Forward",9
tt16914736,Divorce,9
tt27449521,"Bukannya Aku Tidak Mau Nikah",9
tt27369815,Inherent,9
tt17158438,"Presa Nocturna",9
tt13824374,Unlinked,9
tt28313870,Aparoopa,9
tt27349262,Aura,9
tt4440482,"Black Mud",9
tt15779042,Sika,9
tt11429932,"Lohem Baneshama",9
tt28297544,Rimdogittanga,9
tt3609728,"Sands of Silence",9
tt12384676,"Route 24",9
tt27562388,"Yug Purush Sadguru Sai Teoonram",9
tt3530192,"Lucy in the Sky with Diamonds",9
tt11135910,Kastoori,9
tt11361302,Fazeeta,9
tt27336198,"The Kujus Again",9
tt27687483,"Detektif Jaga Jarak",9
tt11374306,"Gia thimise mou",9
tt27443823,Hathpakda,9
tt27794632,Fouja,9
tt12861616,"Cheruvaina Dooramaina",9
tt27192026,"School College Ani Life",9
tt27911825,"In Pursuit of Love",9
tt15746922,"Family Fiction",9
tt27350731,"It's All True",9
tt17423592,"Pray for the Bear",9
tt11734728,ODA,9
tt27803658,"Thank You, Amelia Earhart",9
tt28334813,"Purple Poppins",9
tt5119914,"Bari Luys",9
tt27989367,"Radha Ramana",9
tt27554460,"Dunia Tanpa Suara",9
tt4082606,"Healing Voices",9
tt11186748,"Portreti i Pambaruar",9
tt5119914,"Bari Luys",9
tt4604666,Baby,9
tt27127520,"Black America",9
tt0395198,"Louie the Moon",9
tt10482802,"The Lamp of Truth",9
tt26595643,"Allantha Doorana",9
tt10463270,"Shouting Silence",9
tt10422784,"The Hoy Boys",9
tt10127546,"National Theatre Live: The Lehman Trilogy",9
tt12089546,"Safaibaaz - The Scavenger",9
tt3891720,"The Performance",9
tt11706558,Fang,9
tt25150506,"Ho Ja Mukt",9
tt15250704,"Little Brother",9
tt14278086,"Lalka Paag",9
tt22696258,"Anur: Eyes on the sunshine",9
tt13304702,"Gharamat AlFaqr",9
tt26754306,"Ondolle Love Story",9
tt25875858,Layar,9
tt3278500,Donovan,9
tt24701256,"My Best Friend Daadu",9
tt0167260,"The Lord of the Rings: The Return of the King",9
tt11492064,"La Mujer de Vidrio",9
tt2211666,"Under the Same Sun",9
tt23558818,"Pyar Ki Policy",9
tt16977014,"Mickey Hardaway",9
tt11646944,Gjirokastra,9
tt13898182,Elephant,9
tt4440482,"Black Mud",9
tt11429932,"Lohem Baneshama",9
tt27687483,"Detektif Jaga Jarak",9
tt3609728,"Sands of Silence",9
tt3850028,"My First Kiss and the People Involved",9
tt27369815,Inherent,9
tt3850028,"My First Kiss and the People Involved",9
tt12180560,Hasruin,9
tt3641920,"When the World Came to San Francisco",9
tt13991334,"Two Idiots and a Tin Whistle",9
tt13329274,Föraren,9
tt3778654,"Until 20",9
tt16176568,"Geometry Box",9
tt28100574,"Love, Lust & Other Things",9
tt28357218,"Akasham Kadann",9
tt18766692,Trio,9
tt3561468,Two-Eleven,9
tt10827864,"Teacher of the Year",9
tt3577328,"A Father's Journey",9
tt28021918,Safarzade,9
tt13898182,Elephant,9
tt18344644,Nasoor,9
tt28329706,"Sri Prasanna Venkatadaasaru",9
tt28115955,"Vitthal Maza Sobati",9
tt3975604,"Halcyon Dreams",9
tt18920258,"Quota - The Reservation",9
tt17274996,Faas,9
tt11474922,"Chandro ka Devar",9
tt3213224,"By Jingo",9
tt27525917,Ramzan,9
tt11428992,Pichhodu,9
tt27218497,"Aani Baani",9
tt28075588,"Mastini Pathshala",9
tt11229382,"While You Still Can",9
tt27773228,"Jersey Number 10",9
tt27912306,Zahma,9
tt3761196,"I Will Dance",9
tt27803347,"Avenue of the Giants",9
tt12489826,WMTv17,9
tt12627728,Transition,9
tt18346084,"Adam & the Water",9
tt16673330,"Madu Murni",9
tt25150506,"Ho Ja Mukt",9
tt3187804,"High Cotton",9
tt11492064,"La Mujer de Vidrio",9
tt3239126,"To B or Not to B",9
tt10127546,"National Theatre Live: The Lehman Trilogy",9
tt26542744,"Main Raj Kapoor Ho Gaya",9
tt11786202,"Bidadari Terakhir",9
tt3278500,Donovan,9
tt11906860,"Terima Kasih Emak Terima Kasih Abah",9
tt13407506,"Ek Anokhi Dulhan - Saavi",9
tt2369365,"The Arab Americans",9
tt26917062,Swapnaloka,9
tt25875858,Layar,9
tt11646944,Gjirokastra,9
tt25874946,"The Day Before the Wedding",9
tt13892722,Iftikhar,9
tt3891720,"The Performance",9
tt11587720,Mhorkya,9
tt2826636,"Charlie and Wendy",9
tt10463270,"Shouting Silence",9
tt12322110,"Pra onde levam as ondas",9
tt11157882,"Main Sehra Bandh Ke Aaunga",9
tt25154816,Tendlya,9
tt25815968,Smarami,9
tt10482802,"The Lamp of Truth",9
tt11759630,Godaam,9
tt14473660,"Son-of-a Preacher Man",9
tt11242816,Dilwala,9
tt14111740,Isolering,9
tt2428822,"Beyond What Remains",9
tt2360356,"Code 0044",9
tt13186110,"Chowdhury Rajbari",9
tt15539936,MindReader,9
tt15134118,Ayaanle,9
tt2669078,"Time Framed",9
tt0395198,"Louie the Moon",9
tt26366475,Saptrang,9
tt11706558,Fang,9
tt27349262,Aura,9
tt10827864,"Teacher of the Year",9
tt27449521,"Bukannya Aku Tidak Mau Nikah",9
tt3641920,"When the World Came to San Francisco",9
tt28116291,"IQ (Power of student)",9
tt18766692,Trio,9
